Country Name,Country Code,Indicator Name,Indicator Code,Year,Quarter,Year_Quarter,Value
Kenya,KEN,Current Ratio (%),CR,2021,Q4,2021-Q4,169.95000000000002
Kenya,KEN,Current Ratio (%),CR,2022,Q1,2022-Q1,175.44
Kenya,KEN,Current Ratio (%),CR,2022,Q2,2022-Q2,168.56
Kenya,KEN,Current Ratio (%),CR,2022,Q3,2022-Q3,166.84
Kenya,KEN,Current Ratio (%),CR,2022,Q4,2022-Q4,177.16
Kenya,KEN,Current Ratio (%),CR,2023,Q1,2023-Q1,181.56
Kenya,KEN,Current Ratio (%),CR,2023,Q2,2023-Q2,174.44
Kenya,KEN,Current Ratio (%),CR,2023,Q3,2023-Q3,172.66
Kenya,KEN,Current Ratio (%),CR,2023,Q4,2023-Q4,183.34
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2015,Q1,2015-Q1,95.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2015,Q2,2015-Q2,95.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2015,Q3,2015-Q3,95.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2015,Q4,2015-Q4,95.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2016,Q1,2016-Q1,98.25
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2016,Q2,2016-Q2,101.5
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2016,Q3,2016-Q3,104.75
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2016,Q4,2016-Q4,108.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2017,Q1,2017-Q1,112.25
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2017,Q2,2017-Q2,116.5
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2017,Q3,2017-Q3,120.75
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2017,Q4,2017-Q4,125.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2018,Q1,2018-Q1,129.25
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2018,Q2,2018-Q2,133.5
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2018,Q3,2018-Q3,137.75
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2018,Q4,2018-Q4,142.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2019,Q1,2019-Q1,147.75
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2019,Q2,2019-Q2,153.5
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2019,Q3,2019-Q3,159.25
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2019,Q4,2019-Q4,165.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2020,Q1,2020-Q1,163.25
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2020,Q2,2020-Q2,161.5
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2020,Q3,2020-Q3,159.75
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2020,Q4,2020-Q4,158.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2021,Q1,2021-Q1,163.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2021,Q2,2021-Q2,168.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2021,Q3,2021-Q3,173.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2021,Q4,2021-Q4,178.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2022,Q1,2022-Q1,183.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2022,Q2,2022-Q2,188.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2022,Q3,2022-Q3,193.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2022,Q4,2022-Q4,198.0
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2023,Q1,2023-Q1,202.25
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2023,Q2,2023-Q2,206.5
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2023,Q3,2023-Q3,210.75
Kenya,KEN,Gross Loan Portfolio (USD millions),GLP,2023,Q4,2023-Q4,215.0
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2015,Q1,2015-Q1,5.2
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2015,Q2,2015-Q2,5.2
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2015,Q3,2015-Q3,5.2
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2015,Q4,2015-Q4,5.2
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2016,Q1,2016-Q1,5.1
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2016,Q2,2016-Q2,5.0
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2016,Q3,2016-Q3,4.9
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2016,Q4,2016-Q4,4.8
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2017,Q1,2017-Q1,4.725
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2017,Q2,2017-Q2,4.65
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2017,Q3,2017-Q3,4.575
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2017,Q4,2017-Q4,4.5
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2018,Q1,2018-Q1,4.425
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2018,Q2,2018-Q2,4.35
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2018,Q3,2018-Q3,4.275
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2018,Q4,2018-Q4,4.2
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2019,Q1,2019-Q1,4.125
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2019,Q2,2019-Q2,4.05
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2019,Q3,2019-Q3,3.975
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2019,Q4,2019-Q4,3.9
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2020,Q1,2020-Q1,4.625
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2020,Q2,2020-Q2,5.35
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2020,Q3,2020-Q3,6.074999999999999
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2020,Q4,2020-Q4,6.8
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2021,Q1,2021-Q1,6.475
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2021,Q2,2021-Q2,6.15
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2021,Q3,2021-Q3,5.825
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2021,Q4,2021-Q4,5.5
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2022,Q1,2022-Q1,5.275
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2022,Q2,2022-Q2,5.05
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2022,Q3,2022-Q3,4.824999999999999
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2022,Q4,2022-Q4,4.6
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2023,Q1,2023-Q1,4.475
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2023,Q2,2023-Q2,4.35
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2023,Q3,2023-Q3,4.225
Kenya,KEN,Portfolio at Risk > 30 days (%),PAR30,2023,Q4,2023-Q4,4.1
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2015,Q1,2015-Q1,2.1
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2015,Q2,2015-Q2,2.1
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2015,Q3,2015-Q3,2.1
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2015,Q4,2015-Q4,2.1
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2016,Q1,2016-Q1,2.025
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2016,Q2,2016-Q2,1.9500000000000002
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2016,Q3,2016-Q3,1.875
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2016,Q4,2016-Q4,1.8
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2017,Q1,2017-Q1,1.75
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2017,Q2,2017-Q2,1.7000000000000002
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2017,Q3,2017-Q3,1.6500000000000001
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2017,Q4,2017-Q4,1.6
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2018,Q1,2018-Q1,1.5750000000000002
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2018,Q2,2018-Q2,1.55
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2018,Q3,2018-Q3,1.525
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2018,Q4,2018-Q4,1.5
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2019,Q1,2019-Q1,1.475
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2019,Q2,2019-Q2,1.45
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2019,Q3,2019-Q3,1.4249999999999998
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2019,Q4,2019-Q4,1.4
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2020,Q1,2020-Q1,1.85
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2020,Q2,2020-Q2,2.3
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2020,Q3,2020-Q3,2.75
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2020,Q4,2020-Q4,3.2
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2021,Q1,2021-Q1,3.0
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2021,Q2,2021-Q2,2.8
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2021,Q3,2021-Q3,2.6
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2021,Q4,2021-Q4,2.4
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2022,Q1,2022-Q1,2.25
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2022,Q2,2022-Q2,2.1
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2022,Q3,2022-Q3,1.95
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2022,Q4,2022-Q4,1.8
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2023,Q1,2023-Q1,1.725
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2023,Q2,2023-Q2,1.65
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2023,Q3,2023-Q3,1.575
Kenya,KEN,Portfolio at Risk > 90 days (%),PAR90,2023,Q4,2023-Q4,1.5
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2015,Q1,2015-Q1,110.16
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2015,Q2,2015-Q2,105.84
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2015,Q3,2015-Q3,104.75999999999999
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2015,Q4,2015-Q4,111.24000000000001
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2016,Q1,2016-Q1,114.24000000000001
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2016,Q2,2016-Q2,109.75999999999999
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2016,Q3,2016-Q3,108.64
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2016,Q4,2016-Q4,115.36
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2017,Q1,2017-Q1,120.36
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2017,Q2,2017-Q2,115.64
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2017,Q3,2017-Q3,114.46
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2017,Q4,2017-Q4,121.54
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2018,Q1,2018-Q1,126.48
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2018,Q2,2018-Q2,121.52
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2018,Q3,2018-Q3,120.28
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2018,Q4,2018-Q4,127.72
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2019,Q1,2019-Q1,130.56
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2019,Q2,2019-Q2,125.44
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2019,Q3,2019-Q3,124.16
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2019,Q4,2019-Q4,131.84
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2020,Q1,2020-Q1,117.3
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2020,Q2,2020-Q2,112.7
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2020,Q3,2020-Q3,111.55
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2020,Q4,2020-Q4,118.45
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2021,Q1,2021-Q1,124.44
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2021,Q2,2021-Q2,119.56
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2021,Q3,2021-Q3,118.34
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2021,Q4,2021-Q4,125.66
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2022,Q1,2022-Q1,132.6
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2022,Q2,2022-Q2,127.39999999999999
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2022,Q3,2022-Q3,126.1
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2022,Q4,2022-Q4,133.9
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2023,Q1,2023-Q1,137.7
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2023,Q2,2023-Q2,132.3
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2023,Q3,2023-Q3,130.95
Kenya,KEN,Operating Self-Sufficiency (%),OSS,2023,Q4,2023-Q4,139.05
Kenya,KEN,Return on Assets (%),ROA,2015,Q1,2015-Q1,1.8
Kenya,KEN,Return on Assets (%),ROA,2015,Q2,2015-Q2,1.8
Kenya,KEN,Return on Assets (%),ROA,2015,Q3,2015-Q3,1.8
Kenya,KEN,Return on Assets (%),ROA,2015,Q4,2015-Q4,1.8
Kenya,KEN,Return on Assets (%),ROA,2016,Q1,2016-Q1,1.9000000000000001
Kenya,KEN,Return on Assets (%),ROA,2016,Q2,2016-Q2,2.0
Kenya,KEN,Return on Assets (%),ROA,2016,Q3,2016-Q3,2.1
Kenya,KEN,Return on Assets (%),ROA,2016,Q4,2016-Q4,2.2
Kenya,KEN,Return on Assets (%),ROA,2017,Q1,2017-Q1,2.35
Kenya,KEN,Return on Assets (%),ROA,2017,Q2,2017-Q2,2.5
Kenya,KEN,Return on Assets (%),ROA,2017,Q3,2017-Q3,2.65
Kenya,KEN,Return on Assets (%),ROA,2017,Q4,2017-Q4,2.8
Kenya,KEN,Return on Assets (%),ROA,2018,Q1,2018-Q1,2.9499999999999997
Kenya,KEN,Return on Assets (%),ROA,2018,Q2,2018-Q2,3.0999999999999996
Kenya,KEN,Return on Assets (%),ROA,2018,Q3,2018-Q3,3.25
Kenya,KEN,Return on Assets (%),ROA,2018,Q4,2018-Q4,3.4
Kenya,KEN,Return on Assets (%),ROA,2019,Q1,2019-Q1,3.525
Kenya,KEN,Return on Assets (%),ROA,2019,Q2,2019-Q2,3.65
Kenya,KEN,Return on Assets (%),ROA,2019,Q3,2019-Q3,3.775
Kenya,KEN,Return on Assets (%),ROA,2019,Q4,2019-Q4,3.9
Kenya,KEN,Return on Assets (%),ROA,2020,Q1,2020-Q1,3.45
Kenya,KEN,Return on Assets (%),ROA,2020,Q2,2020-Q2,3.0
Kenya,KEN,Return on Assets (%),ROA,2020,Q3,2020-Q3,2.55
Kenya,KEN,Return on Assets (%),ROA,2020,Q4,2020-Q4,2.1
Kenya,KEN,Return on Assets (%),ROA,2021,Q1,2021-Q1,2.35
Kenya,KEN,Return on Assets (%),ROA,2021,Q2,2021-Q2,2.6
Kenya,KEN,Return on Assets (%),ROA,2021,Q3,2021-Q3,2.85
Kenya,KEN,Return on Assets (%),ROA,2021,Q4,2021-Q4,3.1
Kenya,KEN,Return on Assets (%),ROA,2022,Q1,2022-Q1,3.275
Kenya,KEN,Return on Assets (%),ROA,2022,Q2,2022-Q2,3.45
Kenya,KEN,Return on Assets (%),ROA,2022,Q3,2022-Q3,3.625
Kenya,KEN,Return on Assets (%),ROA,2022,Q4,2022-Q4,3.8
Kenya,KEN,Return on Assets (%),ROA,2023,Q1,2023-Q1,3.9
Kenya,KEN,Return on Assets (%),ROA,2023,Q2,2023-Q2,4.0
Kenya,KEN,Return on Assets (%),ROA,2023,Q3,2023-Q3,4.1
Kenya,KEN,Return on Assets (%),ROA,2023,Q4,2023-Q4,4.2
Kenya,KEN,Return on Equity (%),ROE,2015,Q1,2015-Q1,12.24
Kenya,KEN,Return on Equity (%),ROE,2015,Q2,2015-Q2,11.76
Kenya,KEN,Return on Equity (%),ROE,2015,Q3,2015-Q3,11.64
Kenya,KEN,Return on Equity (%),ROE,2015,Q4,2015-Q4,12.36
Kenya,KEN,Return on Equity (%),ROE,2016,Q1,2016-Q1,14.280000000000001
Kenya,KEN,Return on Equity (%),ROE,2016,Q2,2016-Q2,13.719999999999999
Kenya,KEN,Return on Equity (%),ROE,2016,Q3,2016-Q3,13.58
Kenya,KEN,Return on Equity (%),ROE,2016,Q4,2016-Q4,14.42
Kenya,KEN,Return on Equity (%),ROE,2017,Q1,2017-Q1,16.32
Kenya,KEN,Return on Equity (%),ROE,2017,Q2,2017-Q2,15.68
Kenya,KEN,Return on Equity (%),ROE,2017,Q3,2017-Q3,15.52
Kenya,KEN,Return on Equity (%),ROE,2017,Q4,2017-Q4,16.48
Kenya,KEN,Return on Equity (%),ROE,2018,Q1,2018-Q1,19.38
Kenya,KEN,Return on Equity (%),ROE,2018,Q2,2018-Q2,18.62
Kenya,KEN,Return on Equity (%),ROE,2018,Q3,2018-Q3,18.43
Kenya,KEN,Return on Equity (%),ROE,2018,Q4,2018-Q4,19.57
Kenya,KEN,Return on Equity (%),ROE,2019,Q1,2019-Q1,22.44
Kenya,KEN,Return on Equity (%),ROE,2019,Q2,2019-Q2,21.56
Kenya,KEN,Return on Equity (%),ROE,2019,Q3,2019-Q3,21.34
Kenya,KEN,Return on Equity (%),ROE,2019,Q4,2019-Q4,22.66
Kenya,KEN,Return on Equity (%),ROE,2020,Q1,2020-Q1,13.26
Kenya,KEN,Return on Equity (%),ROE,2020,Q2,2020-Q2,12.74
Kenya,KEN,Return on Equity (%),ROE,2020,Q3,2020-Q3,12.61
Kenya,KEN,Return on Equity (%),ROE,2020,Q4,2020-Q4,13.39
Kenya,KEN,Return on Equity (%),ROE,2021,Q1,2021-Q1,18.36
Kenya,KEN,Return on Equity (%),ROE,2021,Q2,2021-Q2,17.64
Kenya,KEN,Return on Equity (%),ROE,2021,Q3,2021-Q3,17.46
Kenya,KEN,Return on Equity (%),ROE,2021,Q4,2021-Q4,18.54
Kenya,KEN,Return on Equity (%),ROE,2022,Q1,2022-Q1,21.42
Kenya,KEN,Return on Equity (%),ROE,2022,Q2,2022-Q2,20.58
Kenya,KEN,Return on Equity (%),ROE,2022,Q3,2022-Q3,20.37
Kenya,KEN,Return on Equity (%),ROE,2022,Q4,2022-Q4,21.63
Kenya,KEN,Return on Equity (%),ROE,2023,Q1,2023-Q1,24.48
Kenya,KEN,Return on Equity (%),ROE,2023,Q2,2023-Q2,23.52
Kenya,KEN,Return on Equity (%),ROE,2023,Q3,2023-Q3,23.28
Kenya,KEN,Return on Equity (%),ROE,2023,Q4,2023-Q4,24.72
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2015,Q1,2015-Q1,61.25
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2015,Q2,2015-Q2,61.25
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2015,Q3,2015-Q3,61.25
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2015,Q4,2015-Q4,61.25
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2016,Q1,2016-Q1,63.0
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2016,Q2,2016-Q2,63.0
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2016,Q3,2016-Q3,63.0
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2016,Q4,2016-Q4,63.0
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2017,Q1,2017-Q1,66.25
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2017,Q2,2017-Q2,66.25
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2017,Q3,2017-Q3,66.25
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2017,Q4,2017-Q4,66.25
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2018,Q1,2018-Q1,69.5
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2018,Q2,2018-Q2,69.5
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2018,Q3,2018-Q3,69.5
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2018,Q4,2018-Q4,69.5
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2019,Q1,2019-Q1,73.75
Kenya,KEN,Average Loan Balance (USD),AVG_LOAN,2019,Q2,2019-Q2,73.75
