Loan_ID,Country,Loan_Amount,Tenor_Months,Interest_Rate,Borrower_Type,Secured,Days_Past_Due,Credit_Score,Repayment_History,Months_Elapsed,Outstanding_Balance,Moody_Rating,Default_Spread,Country_Risk_Premium,PD_Base,Score_Factor,Delinquency_Factor,History_Factor,Collateral_Factor,PD,LGD_Base,LGD,EAD,Utilization,ECL
MF0018,Guyana,7203.73,42,0.1339,Individual,True,0,442.0,0.951,40,343.03,0.015830977766757574,0.05,0.06463220861482283,0.05,1.5942857142857143,1.0,1.049,0.8,0.06689622857142857,0.45,0.315,360.18149999999997,0.04761838658583817,7.589856944627999
MF0019,Brunei,4186.42,24,0.2277,SME,False,0,540.0,0.949,2,3837.55,0.005936616662534093,0.05,0.051299578230558564,0.05,1.3142857142857143,1.0,1.0510000000000002,1.0,0.06906571428571429,0.45,0.54,4029.4275000000002,0.916666268554039,150.27945576300002
MF0020,Zimbabwe,6265.99,30,0.1439,SME,True,0,427.0,0.703,27,626.6,0.08916565418629636,0.05,0.16345052793348747,0.05,1.637142857142857,1.0,1.2970000000000002,0.8,0.08493497142857143,0.45,0.315,657.9300000000001,0.1000001595917006,17.602598711880002
MF0021,Algeria,11275.02,6,0.1305,SME,True,0,608.0,0.904,5,1879.17,0.02979948756095544,0.05,0.08345474562790181,0.05,1.12,1.0,1.096,0.8,0.049100800000000014,0.45,0.315,1973.1285000000003,0.16666666666666666,30.51788917363201
MF0022,Madagascar,5161.7,6,0.1903,Individual,False,0,498.0,0.55,5,860.28,0.05447718819737166,0.05,0.116707894351008,0.05,1.4342857142857142,1.0,1.45,1.0,0.10398571428571429,0.45,0.54,903.294,0.1666660208845923,50.72202277200001
MF0023,Madagascar,4197.41,18,0.1358,SME,False,180,382.0,0.879,11,1632.33,0.05447718819737166,0.05,0.116707894351008,0.05,1.7657142857142856,25.0,1.121,1.0,0.99,0.45,0.54,1713.9465,0.3888898153861548,916.2757989000002
MF0024,Somalia,9847.27,48,0.1871,Individual,True,0,653.0,0.761,22,5333.94,0.09906001529051987,0.05,0.17678315831775177,0.05,0.9914285714285714,1.0,1.2389999999999999,0.8,0.0491352,0.45,0.315,5600.637,0.5416668782312254,86.68435202355599
MF0025,Liberia,9857.36,12,0.1837,Agricultural,True,0,444.0,0.624,0,9857.36,0.08916565418629636,0.05,0.16345052793348747,0.05,1.5885714285714285,1.0,1.376,0.8,0.08743497142857143,0.45,0.315,10350.228000000001,1.0,285.066145179648
MF0026,Sierra Leone,5401.57,24,0.1758,Individual,False,0,330.0,0.924,15,2025.59,0.08916565418629636,0.05,0.16345052793348747,0.05,1.9142857142857141,1.0,1.076,1.0,0.10298857142857143,0.45,0.54,2126.8695,0.37500023141419997,118.2833557668
MF0027,Russia,5558.98,12,0.1447,Agricultural,False,0,780.0,0.596,7,2316.24,0.02979948756095544,0.05,0.08345474562790181,0.05,0.6285714285714286,1.0,1.404,1.0,0.04412571428571429,0.45,0.54,2432.0519999999997,0.41666636685147274,57.9506571072
MF0028,Russia,9756.02,30,0.1732,Individual,True,0,731.0,0.815,4,8455.22,0.02979948756095544,0.05,0.08345474562790181,0.05,0.7685714285714286,1.0,1.185,0.8,0.036430285714285714,0.45,0.315,8877.981,0.8666669400021729,101.87962608474
MF0029,Syria,2544.1,54,0.1814,Agricultural,False,0,650.0,0.622,40,659.58,0.17499999999999996,0.05,0.2791121249739206,0.05,1.0,1.0,1.3780000000000001,1.0,0.0689,0.45,0.54,692.5590000000001,0.2592586769387996,25.767350154000006
MF0030,Madagascar,2628.13,6,0.1728,SME,True,0,345.0,0.77,1,2190.11,0.05447718819737166,0.05,0.116707894351008,0.05,1.8714285714285714,1.0,1.23,0.8,0.09207428571428572,0.45,0.315,2299.6155000000003,0.8333339674978026,66.69666819270002
MF0031,"Yemen, Republic",4560.76,30,0.1556,Agricultural,True,0,684.0,0.894,12,2736.46,0.11884873749896686,0.05,0.20344841908628034,0.05,0.9028571428571428,1.0,1.1059999999999999,0.8,0.039942399999999996,0.45,0.315,2873.2830000000004,0.6000008770468079,36.151232953248
MF0032,Gambia,6831.11,54,0.0825,SME,True,0,386.0,0.728,46,1012.02,0.04458282709314819,0.05,0.10337526396674374,0.05,1.7542857142857144,1.0,1.272,0.8,0.08925805714285717,0.45,0.315,1062.621,0.14814869032997566,29.876958070848012
MF0033,Guinea-Bissau,10391.32,6,0.1798,SME,False,30,642.0,0.762,3,5195.66,0.06437154930159515,0.05,0.13004052473527228,0.05,1.022857142857143,2.0,1.238,1.0,0.1266297142857143,0.45,0.54,5455.443,0.5,373.04344173168
MF0034,Syria,26377.98,54,0.1086,Agricultural,True,0,475.0,0.735,4,24424.06,0.17499999999999996,0.05,0.2791121249739206,0.05,1.5,1.0,1.2650000000000001,0.8,0.07590000000000002,0.45,0.315,25645.263000000003,0.9259260944166309,613.1397704355002
MF0035,Haiti,16092.81,48,0.1892,Individual,False,0,319.0,0.774,36,4023.2,0.11884873749896686,0.05,0.20344841908628034,0.05,1.9457142857142857,1.0,1.226,1.0,0.11927228571428572,0.45,0.54,4224.36,0.2499998446511206,272.0784993552
MF0036,Zimbabwe,7129.88,24,0.2091,Individual,True,0,735.0,0.844,17,2079.55,0.08916565418629636,0.05,0.16345052793348747,0.05,0.7571428571428571,1.0,1.1560000000000001,0.8,0.03501028571428572,0.45,0.315,2183.5275,0.2916669004246916,24.08046531660001
MF0037,"Korea, D.P.R.",7980.74,60,0.1651,Women-owned,True,120,358.0,0.715,43,2261.21,0.11884873749896686,0.05,0.20344841908628034,0.05,1.8342857142857143,15.0,1.2850000000000001,0.8,0.99,0.45,0.315,2374.2705,0.2833333751005546,740.416255425
MF0038,Haiti,3633.59,30,0.1722,Individual,True,0,388.0,0.67,26,484.48,0.11884873749896686,0.05,0.20344841908628034,0.05,1.7485714285714287,1.0,1.33,0.8,0.09302400000000002,0.45,0.315,508.70400000000006,0.13333370027988847,14.906329482240006
MF0039,Sudan,7983.96,30,0.2418,Women-owned,False,30,562.0,0.702,2,7451.7,0.17499999999999996,0.05,0.2791121249739206,0.05,1.2514285714285713,2.0,1.298,1.0,0.16243542857142856,0.45,0.54,7824.285,0.9333338343378473,686.3081871096
MF0040,Guinea,6432.21,36,0.224,Individual,True,0,661.0,0.872,25,1965.4,0.08916565418629636,0.05,0.16345052793348747,0.05,0.9685714285714285,1.0,1.1280000000000001,0.8,0.04370194285714287,0.45,0.315,2063.67,0.30555594422445786,28.40871235104001
MF0041,Myanmar,10489.97,42,0.2354,Individual,True,0,358.0,0.737,38,999.04,0.09906001529051987,0.05,0.17678315831775177,0.05,1.8342857142857143,1.0,1.263,0.8,0.0926681142857143,0.45,0.315,1048.992,0.09523764128972724,30.620554820352
MF0042,Sudan,4180.62,48,0.2183,SME,False,0,604.0,0.856,48,0.0,0.17499999999999996,0.05,0.2791121249739206,0.05,1.1314285714285715,1.0,1.1440000000000001,1.0,0.0647177142857143,0.45,0.54,0.0,0.0,0.0
MF0043,"Korea, D.P.R.",12276.93,48,0.0985,Women-owned,True,60,469.0,0.693,17,7928.85,0.11884873749896686,0.05,0.20344841908628034,0.05,1.5171428571428571,4.0,1.307,0.8,0.3172649142857143,0.45,0.315,8325.292500000001,0.6458332824248407,832.0168115960402
MF0044,Zimbabwe,27617.12,12,0.1053,Individual,False,0,421.0,0.962,0,27617.12,0.08916565418629636,0.05,0.16345052793348747,0.05,1.6542857142857144,1.0,1.038,1.0,0.08585742857142858,0.45,0.54,28997.976,1.0,1344.4334926934403
MF0045,Brunei,7427.85,54,0.1695,Women-owned,True,0,465.0,0.972,24,4126.58,0.005936616662534093,0.05,0.051299578230558564,0.05,1.5285714285714285,1.0,1.028,0.8,0.06285485714285714,0.45,0.315,4332.909000000001,0.5555551067940252,85.78847850552
MF0046,"Yemen, Republic",11174.27,42,0.1218,SME,False,0,764.0,0.936,30,3192.65,0.11884873749896686,0.05,0.20344841908628034,0.05,0.6742857142857143,1.0,1.064,1.0,0.03587200000000001,0.45,0.54,3352.2825000000003,0.28571441355900656,64.93666203360003
MF0047,Russia,14074.43,24,0.161,SME,True,0,811.0,0.838,4,11728.69,0.02979948756095544,0.05,0.08345474562790181,0.05,0.54,1.0,1.162,0.8,0.025099200000000002,0.45,0.315,12315.124500000002,0.8333332149152755,97.36642844787603
MF0048,Haiti,5878.3,24,0.147,Women-owned,False,0,346.0,0.806,1,5633.37,0.11884873749896686,0.05,0.20344841908628034,0.05,1.8685714285714285,1.0,1.194,1.0,0.11155371428571428,0.45,0.54,5915.038500000001,0.958333191568991,356.3160380017201
MF0049,Madagascar,9694.11,48,0.1734,SME,True,0,507.0,0.94,32,3231.37,0.05447718819737166,0.05,0.116707894351008,0.05,1.4085714285714286,1.0,1.06,0.8,0.05972342857142859,0.45,0.315,3392.9385,0.3333333333333333,63.83094484788002
MF0050,Iran,8185.13,24,0.207,Agricultural,True,60,611.0,0.736,6,6138.85,0.06437154930159515,0.05,0.13004052473527228,0.05,1.1114285714285714,4.0,1.264,0.8,0.2247753142857143,0.45,0.315,6445.7925000000005,0.7500003054319235,456.38933602752
MF0051,Russia,8761.66,36,0.2016,Agricultural,True,0,424.0,0.903,31,1216.9,0.02979948756095544,0.05,0.08345474562790181,0.05,1.6457142857142857,1.0,1.097,0.8,0.07221394285714287,0.45,0.315,1277.7450000000001,0.1388892059267308,29.06536639104001
MF0052,Gambia,4365.95,30,0.1686,SME,True,0,507.0,0.876,17,1891.91,0.04458282709314819,0.05,0.10337526396674374,0.05,1.4085714285714286,1.0,1.124,0.8,0.06332937142857145,0.45,0.315,1986.5055000000002,0.43333295159129176,39.62830556613602
MF0053,Myanmar,8263.54,18,0.2198,Agricultural,True,0,695.0,0.722,16,918.17,0.09906001529051987,0.05,0.17678315831775177,0.05,0.8714285714285714,1.0,1.278,0.8,0.04454742857142858,0.45,0.315,964.0785,0.11111097665165291,13.528373706540002
MF0054,Somalia,12069.04,60,0.1532,Individual,False,0,501.0,0.779,33,5431.07,0.09906001529051987,0.05,0.17678315831775177,0.05,1.4257142857142857,1.0,1.221,1.0,0.08703985714285715,0.45,0.54,5702.6235,0.45000016571326296,268.03198878093
MF0055,Guinea,25871.96,12,0.2324,Women-owned,True,0,670.0,0.908,6,12935.98,0.08916565418629636,0.05,0.16345052793348747,0.05,0.9428571428571428,1.0,1.092,0.8,0.041184000000000005,0.45,0.315,13582.779,0.5,176.20884865584003
MF0056,Sudan,17455.62,54,0.0921,Individual,False,0,453.0,0.929,6,15516.11,0.17499999999999996,0.05,0.2791121249739206,0.05,1.5628571428571427,1.0,1.071,1.0,0.08369099999999999,0.45,0.54,16291.915500000001,0.8888890798493552,736.28281805967
MF0057,Iran,45367.26,60,0.2423,Women-owned,False,0,644.0,0.854,41,14366.3,0.06437154930159515,0.05,0.13004052473527228,0.05,1.0171428571428571,1.0,1.146,1.0,0.05828228571428571,0.45,0.54,15084.615,0.31666668870899406,474.7495543128
MF0058,Guinea,4385.78,54,0.1913,SME,False,60,342.0,0.73,53,81.22,0.08916565418629636,0.05,0.16345052793348747,0.05,1.88,4.0,1.27,1.0,0.47752,0.45,0.54,85.281,0.01851894075854238,21.9906268848
MF0059,Brunei,16282.67,6,0.1446,Individual,True,90,544.0,0.879,4,5427.56,0.005936616662534093,0.05,0.051299578230558564,0.05,1.302857142857143,8.0,1.121,0.8,0.4673609142857144,0.45,0.315,5698.938000000001,0.3333335380499636,838.9901753533444
MF0060,Guyana,9383.18,60,0.1135,SME,True,0,651.0,0.971,34,4066.04,0.015830977766757574,0.05,0.06463220861482283,0.05,0.9971428571428571,1.0,1.029,0.8,0.0410424,0.45,0.315,4269.342000000001,0.4333328359895046,55.19557326175201
MF0061,Liberia,46716.02,18,0.1615,SME,False,60,464.0,0.806,11,18167.34,0.08916565418629636,0.05,0.16345052793348747,0.05,1.5314285714285716,4.0,1.194,1.0,0.3657051428571429,0.45,0.54,19075.707000000002,0.38888886510451876,3767.085442909441
MF0062,Guinea,4244.42,48,0.1131,Women-owned,False,0,486.0,0.712,34,1237.96,0.08916565418629636,0.05,0.16345052793348747,0.05,1.4685714285714286,1.0,1.288,1.0,0.09457600000000002,0.45,0.54,1299.8580000000002,0.291667648347713,66.38509991232003
MF0063,Sudan,4139.05,36,0.1083,Women-owned,True,0,372.0,0.847,10,2989.31,0.17499999999999996,0.05,0.2791121249739206,0.05,1.7942857142857143,1.0,1.153,0.8,0.08275245714285716,0.45,0.315,3138.7755,0.7222212826614802,81.81853628911202
MF0064,Madagascar,5016.49,30,0.1849,Women-owned,True,0,582.0,0.763,28,334.43,0.05447718819737166,0.05,0.116707894351008,0.05,1.1942857142857144,1.0,1.237,0.8,0.05909325714285716,0.45,0.315,351.1515,0.06666613508648478,6.536466053964002
MF0065,Brunei,1481.61,30,0.1689,Individual,True,0,592.0,0.869,11,938.35,0.005936616662534093,0.05,0.051299578230558564,0.05,1.1657142857142857,1.0,1.131,0.8,0.05273691428571429,0.45,0.315,985.2675,0.6333313085089869,16.36738982424
MF0066,Liberia,5320.89,36,0.1939,Agricultural,False,0,638.0,0.729,3,4877.48,0.08916565418629636,0.05,0.16345052793348747,0.05,1.0342857142857143,1.0,1.271,1.0,0.06572885714285713,0.45,0.54,5121.353999999999,0.9166661968204566,181.77520253975996
MF0067,Guinea,4414.69,42,0.238,Women-owned,True,30,614.0,0.808,24,1892.01,0.08916565418629636,0.05,0.16345052793348747,0.05,1.1028571428571428,2.0,1.192,0.8,0.10516845714285715,0.45,0.315,1986.6105,0.4285714285714286,65.812559787072
MF0068,Myanmar,9139.08,6,0.1705,Women-owned,True,0,424.0,0.696,3,4569.54,0.09906001529051987,0.05,0.17678315831775177,0.05,1.6457142857142857,1.0,1.304,0.8,0.08584045714285715,0.45,0.315,4798.017,0.5,129.73715138764803
MF0069,Sierra Leone,10650.95,54,0.1788,Individual,False,30,652.0,0.685,49,986.2,0.08916565418629636,0.05,0.16345052793348747,0.05,0.9942857142857143,2.0,1.315,1.0,0.13074857142857144,0.45,0.54,1035.51,0.09259267952623944,73.111384728
MF0070,Russia,36349.53,18,0.0952,Women-owned,True,0,752.0,0.877,3,30291.28,0.02979948756095544,0.05,0.08345474562790181,0.05,0.7085714285714286,1.0,1.123,0.8,0.03182902857142857,0.45,0.315,31805.844,0.8333334708866937,318.889971985536
MF0071,Iran,17332.51,24,0.202,Individual,True,0,436.0,0.675,21,2166.56,0.06437154930159515,0.05,0.13004052473527228,0.05,1.6114285714285714,1.0,1.325,0.8,0.0854057142857143,0.45,0.315,2274.888,0.12499978364356923,61.2008568864
MF0072,Myanmar,5107.56,60,0.148,SME,False,180,566.0,0.803,37,1957.9,0.09906001529051987,0.05,0.17678315831775177,0.05,1.24,25.0,1.197,1.0,0.99,0.45,0.54,2055.795,0.3833337249097416,1099.0280070000001
MF0073,Iran,3949.2,6,0.246,Women-owned,False,0,550.0,0.926,4,1316.4,0.06437154930159515,0.05,0.13004052473527228,0.05,1.2857142857142856,1.0,1.0739999999999998,1.0,0.06904285714285713,0.45,0.54,1382.2200000000003,0.33333333333333337,51.53350572000001
MF0074,Zimbabwe,12010.49,60,0.2199,Women-owned,True,0,424.0,0.887,46,2802.45,0.08916565418629636,0.05,0.16345052793348747,0.05,1.6457142857142857,1.0,1.113,0.8,0.07326720000000002,0.45,0.315,2942.5724999999998,0.23333352760794937,67.91212507968001
MF0075,Sierra Leone,2818.09,18,0.1688,SME,True,0,582.0,0.977,0,2818.09,0.08916565418629636,0.05,0.16345052793348747,0.05,1.1942857142857144,1.0,1.0230000000000001,0.8,0.048870171428571446,0.45,0.315,2958.9945000000002,1.0,45.55106906842802
MF0076,Malawi,35072.3,12,0.1009,SME,True,0,466.0,0.698,2,29226.92,0.08916565418629636,0.05,0.16345052793348747,0.05,1.5257142857142858,1.0,1.302,0.8,0.07945920000000001,0.45,0.315,30688.266,0.8333334283750993,768.116495710368
MF0077,Sudan,20817.56,12,0.2261,SME,True,0,395.0,0.746,4,13878.37,0.17499999999999996,0.05,0.2791121249739206,0.05,1.7285714285714286,1.0,1.254,0.8,0.08670514285714287,0.45,0.315,14572.2885,0.6666665065454357,398.0000921866201
MF0078,Russia,5567.27,6,0.216,Women-owned,False,0,815.0,0.778,5,927.88,0.02979948756095544,0.05,0.08345474562790181,0.05,0.5285714285714286,1.0,1.222,1.0,0.03229571428571429,0.45,0.54,974.274,0.1666669660354177,16.991032359600002
MF0079,Zimbabwe,2058.01,48,0.1114,Agricultural,True,0,709.0,0.822,16,1372.01,0.08916565418629636,0.05,0.16345052793348747,0.05,0.8314285714285714,1.0,1.178,0.8,0.039176914285714286,0.45,0.315,1440.6105,0.6666682863542936,17.778182334444
MF0080,Malawi,23935.02,18,0.1302,Agricultural,True,60,616.0,0.895,13,6648.62,0.08916565418629636,0.05,0.16345052793348747,0.05,1.0971428571428572,4.0,1.105,0.8,0.19397485714285717,0.45,0.315,6981.051,0.27777791704372923,426.5567366860801
MF0081,"Korea, D.P.R.",7393.59,18,0.2149,Agricultural,True,0,673.0,0.487,8,4107.55,0.11884873749896686,0.05,0.20344841908628034,0.05,0.9342857142857143,1.0,1.513,0.8,0.05654297142857143,0.45,0.315,4312.927500000001,0.5555555555555556,76.81770696789002
MF0082,Russia,21812.82,36,0.1115,Women-owned,True,0,517.0,0.929,34,1211.82,0.02979948756095544,0.05,0.08345474562790181,0.05,1.38,1.0,1.071,0.8,0.0591192,0.45,0.315,1272.411,0.05555540274022341,23.695534923228
MF0083,Malawi,2263.03,48,0.236,SME,True,0,657.0,0.795,12,1697.27,0.08916565418629636,0.05,0.16345052793348747,0.05,0.98,1.0,1.205,0.8,0.04723600000000001,0.45,0.315,1782.1335000000001,0.749998895286408,26.516970271890006
MF0084,Algeria,5016.56,54,0.1522,Women-owned,False,30,707.0,0.885,34,1857.99,0.02979948756095544,0.05,0.08345474562790181,0.05,0.8371428571428572,2.0,1.115,1.0,0.09334142857142859,0.45,0.54,1950.8895,0.37037133015452817,98.33335897410002
MF0085,Haiti,8137.15,54,0.0948,SME,True,0,623.0,0.668,42,1808.26,0.11884873749896686,0.05,0.20344841908628034,0.05,1.0771428571428572,1.0,1.3319999999999999,0.8,0.057390171428571425,0.45,0.315,1898.673,0.22222276841400246,34.324028221392
MF0086,"Korea, D.P.R.",8413.43,24,0.2187,Women-owned,False,0,542.0,0.821,1,8062.87,0.11884873749896686,0.05,0.20344841908628034,0.05,1.3085714285714285,1.0,1.179,1.0,0.07714028571428572,0.45,0.54,8466.013500000001,0.9583332838093381,352.6581781355401
MF0087,Algeria,5653.03,30,0.1435,Women-owned,False,0,468.0,0.768,23,1319.04,0.02979948756095544,0.05,0.08345474562790181,0.05,1.52,1.0,1.232,1.0,0.093632,0.45,0.54,1384.992,0.23333327436790535,70.02696830976001
MF0088,Madagascar,13336.77,12,0.1695,SME,True,0,538.0,0.952,12,0.0,0.05447718819737166,0.05,0.116707894351008,0.05,1.32,1.0,1.048,0.8,0.055334400000000006,0.45,0.315,0.0,0.0,0.0
MF0089,Iran,3449.22,54,0.0991,Agricultural,True,0,432.0,0.662,50,255.5,0.06437154930159515,0.05,0.13004052473527228,0.05,1.6228571428571428,1.0,1.338,0.8,0.0868553142857143,0.45,0.315,268.27500000000003,0.07407471834211793,7.339849473600002
MF0090,Libya,7230.74,48,0.0804,SME,True,0,758.0,0.849,15,4971.13,0.015830977766757574,0.05,0.06463220861482283,0.05,0.6914285714285715,1.0,1.151,0.8,0.03183337142857144,0.45,0.315,5219.686500000001,0.6874994813808822,52.34046901498803
MF0091,Syria,8921.65,18,0.1885,Individual,True,0,772.0,0.57,17,495.65,0.17499999999999996,0.05,0.2791121249739206,0.05,0.6514285714285715,1.0,1.4300000000000002,0.8,0.0372617142857143,0.45,0.315,520.4325,0.0555558669080271,6.108545242800003
MF0092,Somalia,12228.82,54,0.1676,Individual,True,0,517.0,0.649,6,10870.06,0.09906001529051987,0.05,0.17678315831775177,0.05,1.38,1.0,1.351,0.8,0.0745752,0.45,0.315,11413.563,0.8888887071688029,268.118154182844
MF0093,Iran,14318.27,18,0.1809,SME,True,0,478.0,0.818,12,4772.76,0.06437154930159515,0.05,0.13004052473527228,0.05,1.4914285714285715,1.0,1.182,0.8,0.07051474285714286,0.45,0.315,5011.398,0.33333356613613235,111.31389401731202
MF0094,Gambia,3295.41,54,0.2149,Women-owned,True,60,614.0,0.736,35,1159.5,0.04458282709314819,0.05,0.10337526396674374,0.05,1.1028571428571428,4.0,1.264,0.8,0.2230418285714286,0.45,0.315,1217.4750000000001,0.3518530319444318,85.53757282560002
MF0095,Gambia,2374.9,12,0.1899,Individual,False,90,533.0,0.653,8,791.63,0.04458282709314819,0.05,0.10337526396674374,0.05,1.3342857142857143,8.0,1.347,1.0,0.7189131428571428,0.45,0.54,831.2115,0.3333319297654638,322.68719079576
MF0096,Algeria,22519.6,60,0.1097,Individual,True,0,553.0,0.884,29,11635.13,0.02979948756095544,0.05,0.08345474562790181,0.05,1.2771428571428571,1.0,1.116,0.8,0.05701165714285716,0.45,0.315,12216.8865,0.5166668146858736,219.39905751472807
MF0097,Guinea-Bissau,10570.8,54,0.1413,Women-owned,False,30,713.0,0.928,41,2544.82,0.06437154930159515,0.05,0.13004052473527228,0.05,0.8200000000000001,2.0,1.072,1.0,0.08790400000000002,0.45,0.54,2672.061,0.24074053051803082,126.83781907776005
MF0098,Liberia,4452.45,48,0.234,Women-owned,True,0,414.0,0.842,40,742.07,0.08916565418629636,0.05,0.16345052793348747,0.05,1.6742857142857144,1.0,1.158,0.8,0.0775529142857143,0.45,0.315,779.1735000000001,0.16666554368942943,19.034560332648006
MF0099,Haiti,28026.94,54,0.2109,Agricultural,False,0,634.0,0.832,6,24912.84,0.11884873749896686,0.05,0.20344841908628034,0.05,1.0457142857142858,1.0,1.1680000000000001,1.0,0.061069714285714304,0.45,0.54,26158.482,0.8888890474664733,862.6451518195204
MF0100,"Korea, D.P.R.",8888.73,30,0.1746,Women-owned,True,0,717.0,0.93,14,4740.66,0.11884873749896686,0.05,0.20344841908628034,0.05,0.8085714285714286,1.0,1.0699999999999998,0.8,0.03460685714285714,0.45,0.315,4977.693,0.5333337833413773,54.26262782388
MF0101,Haiti,20815.18,12,0.1235,SME,True,0,690.0,0.765,11,1734.6,0.11884873749896686,0.05,0.20344841908628034,0.05,0.8857142857142857,1.0,1.2349999999999999,0.8,0.04375428571428572,0.45,0.315,1821.33,0.08333341340310292,25.102662858
MF0102,"Korea, D.P.R.",8552.81,48,0.1314,SME,False,0,565.0,0.707,39,1603.65,0.11884873749896686,0.05,0.20344841908628034,0.05,1.2428571428571429,1.0,1.2930000000000001,1.0,0.0803507142857143,0.45,0.54,1683.8325000000002,0.1874997807738042,73.06045782075003
